[Пт июн  8 06:42:03 UTC 2018] SCA imported
[Sat Jun  9 01:05:21 UTC 2018] SCA imported
[Sun Jun 10 01:05:20 UTC 2018] SCA imported
[Mon Jun 11 01:05:23 UTC 2018] SCA imported
[Tue Jun 12 01:05:26 UTC 2018] SCA imported
[Wed Jun 13 01:05:19 UTC 2018] SCA imported
[Thu Jun 14 01:05:19 UTC 2018] SCA imported
[Fri Jun 15 01:05:22 UTC 2018] SCA imported
[Sat Jun 16 01:05:21 UTC 2018] SCA imported
[Sun Jun 17 01:05:20 UTC 2018] SCA imported
[Mon Jun 18 01:05:20 UTC 2018] SCA imported
[Tue Jun 19 01:05:24 UTC 2018] SCA imported
[Wed Jun 20 01:05:19 UTC 2018] SCA imported
[Thu Jun 21 01:05:24 UTC 2018] SCA imported
[Fri Jun 22 01:05:21 UTC 2018] SCA imported
[Sat Jun 23 01:05:27 UTC 2018] SCA imported
[Sun Jun 24 01:05:24 UTC 2018] SCA imported
[Mon Jun 25 01:05:22 UTC 2018] SCA imported
[Tue Jun 26 01:05:20 UTC 2018] SCA imported
[Wed Jun 27 01:05:20 UTC 2018] SCA imported
[Thu Jun 28 01:05:20 UTC 2018] SCA imported
[Fri Jun 29 01:05:21 UTC 2018] SCA imported
[Sat Jun 30 01:05:21 UTC 2018] SCA imported
[Sun Jul  1 01:05:21 UTC 2018] SCA imported
[Mon Jul  2 01:05:22 UTC 2018] SCA imported
[Tue Jul  3 01:05:19 UTC 2018] SCA imported
[Wed Jul  4 01:05:20 UTC 2018] SCA imported
[Thu Jul  5 01:05:21 UTC 2018] SCA imported
[Fri Jul  6 01:05:20 UTC 2018] SCA imported
[Sat Jul  7 01:05:22 UTC 2018] SCA imported
[Sun Jul  8 01:05:20 UTC 2018] SCA imported
[Mon Jul  9 01:05:21 UTC 2018] SCA imported
[Mon Jul  9 14:05:28 UTC 2018] SCA imported
[Tue Jul 10 01:05:20 UTC 2018] SCA imported
[Wed Jul 11 01:05:20 UTC 2018] SCA imported
[Thu Jul 12 01:05:19 UTC 2018] SCA imported
[Fri Jul 13 01:05:20 UTC 2018] SCA imported
[Sat Jul 14 01:05:21 UTC 2018] SCA imported
[Sun Jul 15 01:05:20 UTC 2018] SCA imported
[Mon Jul 16 01:05:21 UTC 2018] SCA imported
[Tue Jul 17 01:05:20 UTC 2018] SCA imported
[Wed Jul 18 01:05:21 UTC 2018] SCA imported
[Thu Jul 19 01:05:20 UTC 2018] SCA imported
[Fri Jul 20 01:05:20 UTC 2018] SCA imported
[Sat Jul 21 01:05:21 UTC 2018] SCA imported
[Sun Jul 22 01:05:22 UTC 2018] SCA imported
[Mon Jul 23 01:05:20 UTC 2018] SCA imported
[Tue Jul 24 01:05:22 UTC 2018] SCA imported
[Wed Jul 25 01:05:20 UTC 2018] SCA imported
[Thu Jul 26 01:05:21 UTC 2018] SCA imported
[Fri Jul 27 01:05:20 UTC 2018] SCA imported
[Sat Jul 28 01:05:20 UTC 2018] SCA imported
[Sun Jul 29 01:05:19 UTC 2018] SCA imported
[Mon Jul 30 01:05:20 UTC 2018] SCA imported
[Tue Jul 31 01:05:20 UTC 2018] SCA imported
[Wed Aug  1 01:05:20 UTC 2018] SCA imported
[Thu Aug  2 01:05:22 UTC 2018] SCA imported
[Fri Aug  3 01:05:23 UTC 2018] SCA imported
[Sat Aug  4 01:05:24 UTC 2018] SCA imported
[Sun Aug  5 01:05:20 UTC 2018] SCA imported
[Mon Aug  6 01:05:20 UTC 2018] SCA imported
[Tue Aug  7 01:05:20 UTC 2018] SCA imported
[Wed Aug  8 01:05:20 UTC 2018] SCA imported
[Thu Aug  9 01:05:19 UTC 2018] SCA imported
[Fri Aug 10 01:05:20 UTC 2018] SCA imported
[Sat Aug 11 01:05:22 UTC 2018] SCA imported
[Sun Aug 12 01:05:20 UTC 2018] SCA imported
[Mon Aug 13 01:05:19 UTC 2018] SCA imported
[Tue Aug 14 01:05:19 UTC 2018] SCA imported
[Tue Aug 14 08:58:05 UTC 2018] SCA imported
[Wed Aug 15 01:05:21 UTC 2018] SCA imported
[Sat Aug 18 01:06:12 UTC 2018] SCA imported
[Sun Aug 19 01:07:05 UTC 2018] SCA imported
[Mon Aug 20 01:07:02 UTC 2018] SCA imported
[Tue Aug 21 01:06:15 UTC 2018] SCA imported
[Wed Aug 22 01:06:30 UTC 2018] SCA imported
[Thu Aug 23 01:07:29 UTC 2018] SCA imported
[Fri Aug 24 01:05:56 UTC 2018] SCA imported
[Sat Aug 25 01:06:16 UTC 2018] SCA imported
[Sun Aug 26 01:06:24 UTC 2018] SCA imported
[Mon Aug 27 01:06:03 UTC 2018] SCA imported
[Thu Aug 30 01:09:13 UTC 2018] SCA imported
[Fri Aug 31 01:07:28 UTC 2018] SCA imported
[Sat Sep  1 01:10:19 UTC 2018] SCA imported
[Sun Sep  2 01:06:55 UTC 2018] SCA imported
[Mon Sep  3 01:06:57 UTC 2018] SCA imported
[Thu Sep  6 01:05:32 UTC 2018] SCA imported
[Thu Sep  6 14:55:10 UTC 2018] SCA imported
