"VENDOR PART#","MANUFACTURER PART #","DESCRIPTION","MSRP","CONTRACT_PRICE","QUANTITY ON HAND","MANUFACTURER_NAME","CATEGORY","SERIAL_FLAG","WEIGHT"
"254138-901","254138-901","COVER,ASSY,2000","37.15","24.89","0","Printronix LLC","PTL","Y","0.661"
"918101230","918101230","Queue-Busting Application (for Joya)","395.00","335.76","0","Datalogic","DTL","Y","0.000"
"94A101121","94A101121","DATALOGIC-STAYLINKED SINGLE SMART TE LIC","172.00","146.21","0","Datalogic","DTL","N","0.000"
"ADL-170203183C","170203183C","PWS CONNECTION CABLE 3 POL BULK","5.00","5.08","0","Advantech-DLoG","ADL","N","0.480"
"ADL-17DLCAHO51432000","17DLCAHO51432000","SPARE PART - Cable holder plastic MPC","0.38","0.28","0","Advantech-DLoG","ADL","N","0.020"
"ADL-17DLWFAN66306601","17DLWFAN66306601","Antenna remote omnidir.  4dBi SWA2459/3","142.52","96.91","1","Advantech-DLoG","ADL","N","0.200"
"ADL-1960080774N001","1960080774N001","VESA BRACKET FOR UPOS-211, BLACK","31.73","25.52","0","Advantech-DLoG","ADL","Y","15.180"
"ADL-1960080774N002","1960080774N002","VESA BRACKET FOR UPOS-211, WHITE","31.73","25.52","0","Advantech-DLoG","ADL","Y","15.180"
"ADL-19DLMEPL51710700","19DLMEPL51710700","SPARE PART - Rail strain relief for MPC","9.75","7.37","0","Advantech-DLoG","ADL","N","0.020"
"ADL-19DLMESC45931400","19DLMESC45931400","SPARE PART - Screw M3x14 Ph-cross DIN798","0.23","0.17","0","Advantech-DLoG","ADL","N","0.020"
"ADL-19DLMESC46061001","19DLMESC46061001","SPARE PART - Screw int.hex DIN912 M6x10","0.63","0.48","0","Advantech-DLoG","ADL","N","0.020"
"ADL-968QWE8PR1","968QWE8PR1","WIN 8 PRO LICENSE ADVANTECH-DLOG","307.00","221.04","0","Advantech-DLoG","ADL","N","0.010"
"ADL-968TW7PS1X","968TW7PS1X","WIN 7 PRO LICENSE ADVANTECH-DLOG","319.50","230.04","0","Advantech-DLoG","ADL","N","0.010"
"ADL-96DLKW2125","96DL-KW2125","SMALL KEYB AZERTY, mounting version, USB","390.00","265.19","0","Advantech-DLoG","ADL","N","1.279"
"ADL-96DLMOGP66333001","96DLMOGP66333001","External GPS receiver","135.00","91.80","0","Advantech-DLoG","ADL","N","2.000"
"ADL-96PSAA84W12P21","96PSA-A84W12P2-1","ADP A/D 100-240V 84W 12V C14 BLOCK 2PIN","56.72","38.58","0","Advantech-DLoG","ADL","N","6.500"
"ADL-9768ANTN004","9768ANTN004","WI-FI ANTENNA DIVERSITY LOW PROFILE RED","58.00","39.44","0","Advantech-DLoG","ADL","N","2.000"
"ADL-AGSAI12DLTM8110","AGS-AI-12-DLTM8110","M8110 ADD INC 3YRS","594.00","400.45","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12DLTV4108","AGS-AI-12-DLTV4108","V4108 ADDINC 3YR","614.00","369.85","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12DLTV6210","AGS-AI-12-DLTV6210","DLTV6210 ADD INC 3 YEARS","480.00","366.74","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12DLTV7210","AGS-AI-12-DLTV7210","DLTV7210 ADD INC 3YRS","552.00","372.13","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12DLTV7210K","AGS-AI-12-DLTV7210K","V7210K ADDINC 3YR","634.00","435.26","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12DLTV7212","AGS-AI-12-DLTV7212","DLTV7212 ADD INC 3YRS","612.00","412.58","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12DLTV8310","AGS-AI-12-DLTV8310","DLTV8310 ADDINC 3YR","594.00","400.45","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12DLTV8312","AGS-AI-12-DLTV8312","DLTV8312 ADDINC 3YR","645.00","434.83","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12DLTV8315","AGS-AI-12-DLTV8315","ADDinclusive 36month for DLTV8315","693.00","467.19","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12DLV7210","AGS-AI-12-DLV7210","DLV7210 ADDINC 3YR","267.30","204.22","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12UTC318","AGS-AI-12-UTC318","UTC318 ADD INC 3 YRS","925.29","467.84","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12UTC3XX","AGS-AI-12-UTC3XX","UTC3XX ADDINC 3Y SERVICE PACK","392.00","281.89","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12UTC520","AGS-AI-12-UTC520","UTC520 ADD INC 3 YRS","1862.95","941.94","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12UTC5XX","AGS-AI-12-UTC5XX","UTC5XX ADDINC 3Y SERVICE PACK","994.00","714.79","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12UTC6XX","AGS-AI-12-UTC6XX","UTC6XX ADDINC 3Y SERVICE PACK","1007.00","724.13","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI12XMT5","AGS-AI-12-XMT5","XMT5(7+10) ADDINC 3YR","500.00","337.08","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36-DLTV8315","AGS-AI-36-DLTV8315","ADDinclusive 60month for DLTV8315","1155.00","778.65","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36DLTM8110","AGS-AI-36-DLTM8110","M8110 ADD INC 5YRS","990.00","667.42","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36DLTV6210","AGS-AI-36-DLTV6210","DLTV6210 ADD INC 5 YEARS","800.00","584.27","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36DLTV7210","AGS-AI-36-DLTV7210","DLTV7210 ADD INC 5YRS","920.00","620.22","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36DLTV7212","AGS-AI-36-DLTV7212","DLTV7212 ADD INC 5YRS","1020.00","687.64","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36DLTV8310","AGS-AI-36-DLTV8310","DLTV8310 ADDINC 5YR","990.00","667.42","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36DLTV8312","AGS-AI-36-DLTV8312","DLTV8312 ADDINC 5YR","1075.00","724.72","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36DLV7210","AGS-AI-36-DLV7210","DLV7210 ADDINC 5YR","445.50","340.38","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36UTC3XX","AGS-AI-36-UTC3XX","UTC3XX ADDINC 5Y SERVICE PACK","646.00","464.54","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36UTC5XX","AGS-AI-36-UTC5XX","UTC5XX ADDINC 5Y SERVICE PACK","1636.00","1176.45","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36UTC6XX","AGS-AI-36-UTC6XX","UTC6XX ADDINC 5Y SERVICE PACK","1663.00","1195.87","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSAI36XMT5","AGS-AI-36-XMT5","XMT5(7+10) ADDINC 5YR","833.00","561.57","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSEW12DKTV7210","AGS-EW-12-DKTV7210","DKTV7210 EXTENDED WARRANTY 12 MONTHS","288.00","194.16","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSEW12DLTV7210","AGS-EW-12-DLTV7210","DLTV7210 Ext warranty 3years","252.51","198.61","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSEW12DLTV8310","AGS-EW-12-DLTV8310","DLTV8310 Ext warranty 3years","286.05","192.84","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSEW12DLTV8312","AGS-EW-12-DLTV8312","DLTV8312 Ext warranty 3years","334.27","240.37","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSEW12DLTV8315","AGS-EW-12-DLTV8315","DLTV8315 Ext warranty 3years","345.52","248.46","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSEW12UTC520","AGS-EW-12-UTC520","UTC520 Ext warranty 3years","453.15","229.12","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSEW12XMT50","AGS-EW-12-XMT50","XMT50 EXT WARRANTY 3YR","229.04","154.40","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSEW24DLTV8312","AGS-EW-24-DLTV8312","DLTV8312 EXTENDED WARRANTY 2 YEARS","169.86","133.60","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSEW36UTC320","AGS-EW-36-UTC320","UTC320 EXT WARRANTY 3 YEARS *PE NEEDED*","473.76","340.67","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AGSEW36V6210","AGS-EW-36-V6210","DLV6210 EXT WARRANTY 3 YEARS","209.00","152.64","0","Advantech-DLoG","ADL","N","0.000"
"ADL-AIM-37AT-S7GB1","AIM-37AT-S7GB1","AIM37 GRAY 2/32GB ANDROID NFC BT EU","1188.01","950.40","0","Advantech-DLoG","ADL","Y","1.200"
"ADL-AIM37ATM7ST0","AIM-37AT-M7ST0","AIM37 GRAY 2/32GB WIN10 2D NFC BT WL EU","1344.06","1075.24","0","Advantech-DLoG","ADL","Y","1.350"
"ADL-AIM37ATS7GB0","AIM-37AT-S7GB0","AIM37 GRAY 2/32GB WIN10 2D SCAN BT WL EU","1188.01","950.41","0","Advantech-DLoG","ADL","Y","1.200"
"ADL-AIM37ATS7GR0","AIM-37AT-S7GR0","AIM37 GRAY 2/32GB WIN10 NFC BT WL EU","993.40","794.72","20","Advantech-DLoG","ADL","Y","1.200"
"ADL-AIM37ATS7GR1","AIM-37AT-S7GR1","AIM37 GRAY 2/32GB ANDROID NFC BT WL EU","933.96","747.17","1","Advantech-DLoG","ADL","Y","1.200"
"ADL-AIM65AT21104000","AIM-65AT-21104000","AIM-65 1.44GHz 32GB CAM ANDROID LTE WIFI","887.71","710.17","0","Advantech-DLoG","ADL","Y","1.320"
"ADL-AIM65AT22301000","AIM-65AT-22301000","AIM-65 1.44GHz 64GB CAM WIN10 WIFI","836.51","669.21","0","Advantech-DLoG","ADL","Y","1.320"
"ADL-AIM65AT22304000","AIM-65AT-22304000","AIM-65 1.44GHz 64GB  CAM WIN10 LTE WIFI","1024.30","819.44","97","Advantech-DLoG","ADL","Y","1.320"
"ADL-AIM65AT23304000","AIM-65AT-23304000","AIM-65 1.44GHz 64GB CAM ANDROID LTE WIFI","973.08","778.46","95","Advantech-DLoG","ADL","Y","1.320"
"ADL-AIMBAT00252","AIM-BAT0-0252","AIM-65 Battery Pack","68.87","55.09","24","Advantech-DLoG","ADL","N","0.100"
"ADL-AIMCHG00150","AIM-CHG0-0150","AIM-65 Multi Tablet Charger 6-in-1","508.00","406.40","10","Advantech-DLoG","ADL","N","0.300"
"ADL-AIMEXT00040","AIM-EXT0-0040","Ext Module Barcode (20 degree) HWL N3680","249.65","199.72","24","Advantech-DLoG","ADL","N","0.300"
"ADL-AIMEXT00041","AIM-EXT0-0041","Ext Module Barcode (70 degree) HWL N3680","249.65","199.72","24","Advantech-DLoG","ADL","N","0.300"
